linear_b,greek_cognates,dubious,explanation,translation
ma-to-pu-ro,ματροπυλος,,Removed accent from 'ό'. The Linear B 'ma-to-pu-ro' corresponds to Greek 'ματροπυλος' (Matropylos).,place name
ma-to-ro-pu-ro,ματροπυλος,,Removed accent from 'ό'. The Linear B 'ma-to-pu-ro' corresponds to Greek 'ματροπυλος' (Matropylos).,place name
ma-u-ti-jo,μαυτιος,,No changes needed.,personal name
me-de-i-jo,μεδειος,,Removed accent from 'έ'.,personal name
me-ni-jo,μηνιος,,No changes needed as it has no accents or special characters.,related to 'mein' (see next)
me-no,μην|μηνας,,The Linear B 'me-no' corresponds to Greek 'μηνος' (month). Removed accent from 'ό'.,month (μήν= month/moon/an Anatolian deity)
me-no-e-ja,μηνοεια,,No changes needed as it has no accents or special characters.,moon shaped?
me-re-ti-rya,μελεστριαι,,First word from the pair. Removed accent from 'έ'.,flour grinders (fem.)
me-re-ti-ri-ja,μαλεστριαι,,Second word from the pair. Removed accent from 'έ'.,flour grinders (fem.)
me-re-u-ro,μαλευρον,,Removed accent from 'έ'.,flour
me-ri,μελι,,First word from the pair. Removed accent from 'έ'. The Linear B 'me-ri' corresponds to Greek 'μελιν/μελιτον' (honey).,honey
me-ri-to,μελιτος|μελιτον,,Second word from the pair. Removed accent from 'έ'. The Linear B 'me-ri-to' corresponds to Greek 'μελιν/μελιτον' (honey).,honey
me-ri-da-ma-te,μελιδαματες,,First word from the pair. Removed accent from 'ά'.,ceremonial title (=' distήbutors of honey'?)
me-ri-du-ma-te,μελιδυματες,,Second word from the pair. Removed accent from 'ύ'.,ceremonial title (=' distήbutors of honey'?)
me-ri-te-wo,μελιτεfος|μελιτευς,,Converted digamma 'F' to lowercase 'f'. Removed accent from 'έ'.,personal name/ occupation (μέλι= honey)
me-ta,μετα,,No changes needed.,"after, with"
me-ta-ke-ku-me-na,μετακεκυμενα,,No changes needed as it has no accents or special characters.,dismantled?
me-ta-ki-ti-ta,μετακτιτας,,Removed accent from 'ά'. The Linear B 'me-ta-ki-ti-ta' corresponds to Greek 'μετακτιτας'.,settler οη a second- stage (see also 'ktitas')
me-ta-pa,μεταπα,,First word from the pair. Removed accent from 'ά'.,place name
me-ta-pa-de,μεταπανδε,,Second word from the pair. Removed accent from 'ά'.,place name
me-ta-pi-jo,μεταπιος,,No changes needed as it has no accents or special characters.,ethnic name of 'Metapa'
me-to-qe-u,μετωπευς,,Removed accent from 'εύ'.,personal name
me-u-jo-ha,μειονα,,Converted digamma 'F' to lowercase 'f'. Removed parentheses. Removed accent from 'ί'.,smaller (many things)
me-wi-jo,μεfιων|μεfιον,,First word from pair. Converted digamma 'F' to lowercase 'f'. Removed accent from 'ί'.,smaller (one person)
me-u-jo,μειων|μειον,,Second word from pair. Converted digamma 'F' to lowercase 'f'. Removed accent from 'ί'.,smaller (one person)
me-wi-jo-e,μεfιονες,,First word from the pair. Converted digamma 'F' to lowercase 'f'. Removed accent from 'ί'.,smaller (many persons)
me-u-jo-e,μειονες,,Second word from the pair. Converted digamma 'F' to lowercase 'f'. Removed accent from 'ί'.,smaller (many persons)
me-zo,μεζων|μεζον|μειζων|μειζον,,Multiple possible cognates. Removed accent from 'έ'. Included variant form μείζων.,"greater, bigger (one person)"
me-zo-ha,μεζοhα|μειζοhα,,"The ha sign in Linear B indicates aspiration, represented by 'h' in the Greek cognate. Removed accent from 'ό'.","greater, bigger (many things)"
me-zo-e,μεζονες|μειζονες,,Removed accent from 'έ'. Labeling μειζονες as dubious because it is too modified compared to the effective greek cognate.,"greater, bigger (many persons)"
mi-ra-ti-ja,μιλατια,,Removed accent from 'ά'.,ethnic name of 'Milatos'  (Miletus)
mi-ta,μινθα|μινθη,,"Removed accent from 'ί'. Included both forms, the original and the evolved form within parentheses.","mentha, mint (plant)"
mi-to-we-sa,μιλτοfεσσα,,First word from the pair. Converted digamma 'F' to lowercase 'f'.,(painted) red
mi-to-we-sa-e,μιλτοfεσσα,,Second word from the pair. Converted digamma 'F' to lowercase 'f'.,(painted) red
mo-qo-so,μοψος,,No changes needed as it has no accents or special characters.,personal name
mo-re-u,μολευς,,Removed accent from 'έ'.,personal name
mo-ri-wo-do,μολυβδος,,No changes needed as it has no accents or special characters.,lead
mo-ro-qa,μοροπας,,No changes needed as it has no accents or special characters.,official (military?) title
mo-ro-po-ro,μοροπλος,,First word from the pair. Removed accent from 'ό'.,personal name
mo-ro-qo-ro-jo,μοροπλος,,Second word from the pair. Removed accent from 'ό'.,personal name
na-i-se-wi-jo,ναισεfιος,,Converted digamma 'F' to lowercase 'f'. Removed accent from 'έ'.,personal name
na-u-do-mo,ναυδομος,,No changes needed as it has no accents or special characters.,ship worker
na-u-si-ke-re,ναυσικλεfεις|ναυσικλης,,First variant without the optional 'we'. Removed capital letter and accent from 'έ'. Converted digamma 'F' to lowercase 'f'. Included both forms.,personal name
na-u-si-ke-re-we,ναυσικλεfης|ναυσικλης,,Second variant with the optional 'we'. Removed capital letter and accent from 'έ'. Converted digamma 'F' to lowercase 'f'. Included both forms.,personal name
na-wi-jo,ναfιος|ναfος|ναος,,"Removed accent from 'ά'. Converted digamma 'F' to lowercase 'f'. Included all possible cognates, and cognates within the parenthesis.",of the temple
na-wi-ro,ναfιλος,,Converted digamma 'F' to lowercase 'f'. Removed accent from 'ά'.,personal name
ne-de-wa-ta,νεδfατας,,First word from the pair. Removed capital letter and accent from 'ά'. Converted digamma 'F' to lowercase 'f'.,personal name
ne-de-wa-ta-o,νεδfατας,,Second word from the pair. Removed capital letter and accent from 'ά'. Converted digamma 'F' to lowercase 'f'.,personal name
ne-de-we,νεδεfει|νεδfη,,First word from the triple. Removed accent from 'εί'. Converted digamma 'F' to lowercase 'f'.,place name (>Νέδα= a modern river)
ne-de-we-e,νεδεfει,,"First word from the triple, with the parenthetical element. Removed accent from 'εί'. Converted digamma 'F' to lowercase 'f'.",place name (>Νέδα= a modern river)
ne-do-wo-ta-de,νεδfοτανδε,,Second word from the triple. Converted digamma 'F' to lowercase 'f'.,place name (>Νέδα= a modern river)
ne-do-wo-te,νεδfοθεν,,Third word from the triple. Converted digamma 'F' to lowercase 'f'. Removed accents from 'έ'. Included all cognates.,place name (>Νέδα= a modern river)
ne-ti-ja-no,νεστιανωρ,,Removed capital letter from 'Ν'.,personal name
ne-ti-ja-no-re,νεστιανωρ,,Removed capital letter from 'Ν'.,personal name
ne-wa,νεfα|νεα,,First word from the pair. Converted digamma 'F' to lowercase 'f'. Removed accent from 'έ'.,new
ne-wo,νεfος|νεος,,Second word from the pair. Converted digamma 'F' to lowercase 'f'. Removed accent from 'έ'.,new
no-pe-re-ha,νωφελεα,,First word from the pair. Removed accent from 'έ'.,useless
no-pe-re,νωφελεα,,First word from the pair without the optional 'e'. Removed accent from 'έ'.,useless
no-pe-re-e,νωφελεα,,First word from the pair with the optional 'e'. Removed accent from 'έ'.,useless
nu-wa-ja,νυμfαια,,First word from the pair. Converted digamma 'F' to lowercase 'f'. Removed accent from 'α'.,kind of cloth/textile (>νυμφαία= yellow water-lily/ νύμφα= bride)
nu-wa-i-ja,νυμfαια,,Second word from the pair. Converted digamma 'F' to lowercase 'f'. Removed accent from 'α'.,kind of cloth/textile (>νυμφαία= yellow water-lily/ νύμφα= bride)
o,ος,,First word from the pair. No changes needed as it has no accents or special characters.,"introductory/ prothetic world ='who, in this manner' (see also 'jo-')"
o-ha,οhα,,"Second word from the pair. Removed accent from 'ά'. The ha sign in Linear B indicates aspiration, represented by 'h' in the Greek cognate.","introductory/ prothetic world ='who, in this manner' (see also 'jo-')"
o-da-ha,οδαhα,,"Third word from the pair. Removed accent from 'ά'. The ha sign in Linear B indicates aspiration, represented by 'h' in the Greek cognate.","introductory/ prothetic world ='who, in this manner' (see also 'jo-')"
o-de-qa-ha,οδεταhα,,"Fourth word from the pair. Removed accent from 'ά'. The ha sign in Linear B indicates aspiration, represented by 'h' in the Greek cognate.","introductory/ prothetic world ='who, in this manner' (see also 'jo-')"
o-da-twe-ta,οδοντfεντα|οδους,οδατθεντα,First word from pair. Removed accent from 'έ'. Converted digamma 'F' to lowercase 'f'. Included both possible cognates. Added dubious 'οδατθεντα' because it's likely not matching the Linear B sequence.,provided with 'teeth'  (of wheels)
o-da-tu-we-ta,οδοντfεντα|οδους,οδατουεντα,Second word from pair. Removed accent from 'έ'. Converted digamma 'F' to lowercase 'f'. Included both possible cognates. Added dubious 'οδατουεντα' because it's likely not matching the Linear B sequence.,provided with 'teeth'  (of wheels)
o-da-ke-we-ta,οδοντfεντα|οδους,οδακεfεντα,Third word from pair. Removed accent from 'έ'. Converted digamma 'F' to lowercase 'f'. Included both possible cognates. Added dubious 'οδακεfεντα' because it's likely not matching the Linear B sequence.,provided with 'teeth'  (of wheels)
o-da-ku-we-ta,οδοντfεντα|οδους,οδακουεντα,Fourth word from pair. Removed accent from 'έ'. Converted digamma 'F' to lowercase 'f'. Included both possible cognates. Added dubious 'οδακουεντα' because it's likely not matching the Linear B sequence.,provided with 'teeth'  (of wheels)
o-du-ru-we,οδρυfει,,First word from the pair. Removed accent from 'ύ'. Converted digamma 'F' to lowercase 'f'.,place name
o-du-ru-wo,οδρυς,,Second word from the pair. Converted digamma 'F' to lowercase 'f'. Removed parenthesis from 'Οδρύς;'.,place name
o-du-ru-wi-ja,οδρυfia,,First word from the pair. Converted digamma 'F' to lowercase 'f'.,ethnic name of 'Odryvei/Odrys'
o-du-ru-wi-jo,οδρυfιος,,Second word from the pair. Converted digamma 'F' to lowercase 'f'.,ethnic name of 'Odryvei/Odrys'
o-ka,αρχη,,"Greek cognate presented with optional characters within parentheses: included both variants, with and without the parenthesized letter. Removed accent from 'ά'. The Linear B 'o-ka' corresponds to Greek 'ορχά(&gt;αρχή)' (command/mission/ (military) unit).",command/mission/ (military) unit
o-ka-ra,οιχαλαι,,Removed capital letter.,place name
o-ka-rai,οιχαλεα|οιχαλεαι,,Removed accent from 'έ'.,ethnic name of 'Oihalai'
o-ko-me-ne-u,ορχομενευς,,Removed accent from 'εύ'.,personal name
o-ku-na-wo,οκυναfος|οκυναfων,,Removed accent from 'ύ'. Converted digamma 'F' to lowercase 'f'. Included both possible cognates.,personal name
o-mo-pi,ορμοφι|ορμος,,Removed accent from 'ό'. Included both cognates 'ορμοφι' and 'ορμος' as indicated. The Linear B 'o-mo-pi' corresponds to Greek 'ορμοφι' and 'ορμος'.,with chains
o-na-te-re,ωνητης|ωνηται,,Removed accent from 'ά'. The Linear B 'o-na-te-re' corresponds to Greek 'ονατερες'.,lessees (see next)
o-na-ta,ωνητεα,,First word from the pair. Removed accent from 'ό'.,lease (ωνέομαι= to buy)
o-na-to,ωνητεος,,Second word from the pair. Removed accent from 'ό'.,lease (ωνέομαι= to buy)
o-ni-ti-a-pi,ορνιθιαφι|ορνις|ορνιθα,,"Multiple cognates provided, all included. Removed accent from 'ί'.",(with) birds
o-no,ονος|ωνος,,Multiple possible cognates. Removed accent from 'ό' and 'ώ'. The Linear B 'o-no' can correspond to either 'ονος' (ass) or 'ωνοι' (payment).,ass/(ώνια= payment)
o-nu-ka,ονυξ,,First word from the pair. No changes needed as it has no accents or special characters.,"(anything like a) claw, nail"
o-nu-ke,ονυχες,,Second word from the pair. No changes needed as it has no accents or special characters.,"(anything like a) claw, nail"
o-pa,οπλα,,Removed accent from 'ό'. Included both cognates with and without parentheses.,term related with the delivery of things
o-pe-ro,οφελος|οφειλη,,Removed accent from 'ό'.,"debt, liability"
o-pe-ro-sa,οφειλουσα,,First word from the set. Removed accent from 'ό'.,she/he/they who owe
o-pe-ro-ta,οφειλοντας,,Second word from the set. Removed accent from 'ό'.,she/he/they who owe
o-pe-ro-te,οφειλοντες,,Third word from the set. Removed accent from 'ό'.,she/he/they who owe
o-pe-ro-si,οφειλουσι,,"Removed accent from 'ό'. Included both forms, before and after the simplification.",they owe
o-pe-ta,οφελτας,,No changes needed as it has no accents or special characters.,name
o-pi-ha-ra,οπιhαλα,,"No changes needed as it has no accents or special characters. The ha sign in Linear B indicates aspiration, represented by 'h' in the Greek cognate.","places by the sea, coastline (>άλιος= of the sea)"
o-pi-de-so-mo,οπιδεσμοι,,No changes needed as it has no accents or special characters.,binding straps (see also 'de-so-mo')
o-pi-i-ja-pi,οπιιαφι,,No changes needed as it has no accents or special characters.,parts of the reins
o-pi-ka-pe-e-we,οπισκαφεfες,,Converted digamma 'F' to lowercase 'f'.,"overseers of digging operations (σκάμμα= trench, pit)"
o-pi-ke-re-mi-ni-ja,οπικελεμνια,,First word from the pair. Removed accent from 'έ'.,part of decoration (of chairs)
o-pi-ke-re-mi-ja-pi,οπικελεμνιαφι,,Second word from the pair. Removed accent from 'έ'.,part of decoration (of chairs)
o-pi-ri-mi-ni-jo,οπιλιμνιος|οπλιμνιος,,Multiple possible cognates. Removed capital letter and accent from 'ί'.,personal name
o-pi-su-ko,οπισυκος,,"No modifications needed as the Linear B 'o-pi-su-ko' corresponds directly to Greek 'οπισυγός' without disallowed characters, accents, or digamma. Removed accent from 'ό'.",'fig- overseer' (see also 'suza')
o-pi-te-te-re,οπιθετηρες,,Removed accent from 'έ'.,chocks
o-pi-te-u-ke-e-u,οπιτευχεευς,,First word from the set. Removed accent from 'ύ'.,overseer of weapons (=τεύχεα)
o-pi-te-ke-e-u,οπιτευχεευς,,Second word from the set. Removed accent from 'ύ'.,overseer of weapons (=τεύχεα)
o-pi-te-u-ke-e-we,οπιτευχεfες,,Third word from the set. Removed accent from 'ύ'.,overseer of weapons (=τεύχεα)
o-pi-te-u-ke-we,οπιτευχεfες,,Third word from the set. Removed accent from 'ύ'.,overseer of weapons (=τεύχεα)
o-po-qo,οπωπιος|οπωπιοι,,Multiple possible cognates. Removed accents from 'ώ'. The Linear B 'o-po-qo' can correspond to either 'οπωπω' or 'οπωποι'.,blinders
o-po-ro,ωφελον|οφειλω,,Removed accent from 'ώ'. The Linear B 'o-po-ro' corresponds to Greek 'ωφλον'.,they owed (see also 'o-pe-ro- si')
o-re-i,ορει|ορος,,Removed accent from 'ό'. Included both cognates from parenthesis.,mountain
o-re-ta,ορεστας,,Removed accent from 'έ'.,personal name
o-ro-me-no,ορομενος|ορω,,Removed accent from 'ό'. Multiple cognates. The Linear B 'o-ro-me-no' corresponds to Greek 'ορομενος' or 'ορω'.,watching over
o-ru-ma-to,ορυμανθος,,Removed accent from 'ύ'.,place name
o-ti-na-wo,ορτιναfος|ορτιναfων,,Converted digamma 'F' to lowercase 'f'. Removed accent from 'ί'.,personal name
o-te,οτε,,Removed accent from 'ό'. The Linear B 'o-te' corresponds to Greek 'οτε'.,when
o-u-di-do-si,ουδιδοασι,,First word from the pair. No changes needed as it has no accents or special characters.,they don't giνe/ they are not given (see also 'di-do- si')
o-u-di-do-to,ουδιδονται|ουδιδοται,,Second word from the pair. No changes needed as it has no accents or special characters.,they don't giνe/ they are not given (see also 'di-do- si')
o-u,ου,,First word from the pair. No changes needed as it has no accents or special characters.,not
o-u-ki,ουχι,,Second word from the pair. No changes needed as it has no accents or special characters.,not
o-u-qe,ουτε,,Included both cognates as provided. Removed accent from 'έ'.,neither
o-te-mi,ουτερμις,,Removed parentheses and its content from the Linear B sequence. Removed parentheses from the Greek cognate and removed accent from 'έ'.,without edges? (see 'te-mi ')
o-u-wo-ze,ουfεργαζει,,Converted digamma 'F' to lowercase 'f'. Removed accent from 'ό'.,not working (see also  'wo-ze')
o-wi-de-ta-i,οfιδεται,οfιδετας,Converted digamma 'F' to lowercase 'f'. Labeling οfιδετας as dubious because it is too modified compared to the effective greek cognate.,religious title ('sheep- flayers?')
o-wi-to-ni-jo,οfιτονιοι,,Converted digamma 'F' to lowercase 'f'.,ethnic name of 'Ovitnos'
o-wi-to-no,οfιτνος,,Converted digamma 'F' to lowercase 'f'. Removed accent from 'Ό'.,place name
o-wo-we,οfωfτεις|οfος|ουfς,,Converted digamma 'F' to lowercase 'f'. dubious included as it's considered as wrong transliteration and a correct match is already present.,"with  'ears,' handles"
pa-da-je-u,πανδαγευς,,First word from the group. Removed accent from 'έ'.,personal name
pa-da-je-we,πανδαγεfες,,Second word from the group. Changed the greek cognate in order to match the F transformation. Removed accent from 'έ'.,personal name
pa-da-je-wo,πανδαγευς,,Third word from the group. Changed the greek cognate in order to match the F transformation. Removed accent from 'έ'.,personal name
pa-di-jo,πανδιων,,The Linear B 'pa-di-jo' corresponds to Greek 'πανδιων'. Removed accent from 'ί' and capital letter.,personal name
pa-i-ti-ja,φαιστια,,First word from the pair. Removed accent from 'ί'.,ethnic name of 'Phaistos'
pa-i-ti-jo,φαιστιος,,Second word from the pair. Removed accent from 'ί'.,ethnic name of 'Phaistos'
pa-i-to,φαιστος,,No changes needed as it has no accents or special characters.,place name
pa-ja-wo-ne,παιαfονει|παιαfων,,Converted digamma 'F' to lowercase 'f'. Removed accent from 'ό'.,god's name (>related to Apollo?)
pa-ka-na,φασγανα,,No modifications needed. The Linear B 'pa-ka-na' corresponds to Greek 'φασγανα'.,"small swords, knives"
pa-ke-te-re,πακτηρες,,No changes needed as it has no accents or special characters.,pegs
pa-ki-ja-na,φασγιαναι|σφαγιαναι,,First word from the pair. Removed capital letter and accent from 'ά'. Included both initial 'φ' and 'σφ' variants.,place name (religious center near Pylos)
pa-ki-ja-na-de,φασγιαναι|σφαγιαναι,,Second word from the pair. Removed capital letter and accent from 'ά'. Included both initial 'φ' and 'σφ' variants.,place name (religious center near Pylos)
pa-ki-ja-ne,φασγιαναι|σφαγιαναι,,Third word from the pair. Removed capital letter and accent from 'ά'. Included both initial 'φ' and 'σφ' variants.,place name (religious center near Pylos)
pa-ki-ja-pi,φασγιαναι|σφαγιαναι,,Fourth word from the pair. Removed capital letter and accent from 'ά'. Included both initial 'φ' and 'σφ' variants.,place name (religious center near Pylos)
pa-ki-ja-si,φασγιαναι|σφαγιαναι,,Fifth word from the pair. Removed capital letter and accent from 'ά'. Included both initial 'φ' and 'σφ' variants.,place name (religious center near Pylos)
pa-ki-ja-ni-ja,φασγιανια|σφαγιανια|φασγιανιαι|σφαγιανιαι,,"First form. Removed capital letter. Included all variant forms with and without final 'ι', as well as both 'φ' and 'σφ' initial forms.",ethnic name of 'Phasgianai/ Sphagianai'
pa-ki-ja-ni-jo,φασγιανιοι|σφαγιανιοι,,Second form. Removed capital letter. Included both initial 'φ' and 'σφ' variants of the masculine form.,ethnic name of 'Phasgianai/ Sphagianai'
pa-ki-ja-ni-jo-i,φασγιανιοι|σφαγιανιοι,,Third form with dative ending. Removed capital letter. Included both initial 'φ' and 'σφ' variants.,ethnic name of 'Phasgianai/ Sphagianai'
pa-ki-ja-ni-jo-jo,φασγιανιοιο|σφαγιανιοιο,,Fourth form with genitive ending. Removed capital letter. Included both initial 'φ' and 'σφ' variants.,ethnic name of 'Phasgianai/ Sphagianai'
pa-ko-si-jo,σφακοσιοιο|σφακοσιος,,First variant without the optional 'jo'. Removed capital letter and accent from 'ί'. Included both variants.,personal name
pa-ko-si-jo-jo,σφακοσιοιο|σφακοσιος,,Second variant with the optional 'jo'. Removed capital letter and accent from 'ί'. Included both variants.,personal name
pa-ko-we,σφακοfεν,,Converted digamma 'F' to lowercase 'f'.,made with siege (plant)
pa-ku-ryo,παγχυλιων,,Removed accent from 'ίων'.,personal name
pa-ma-ko,φαρμακον,,The Linear B 'pa-ma-ko' corresponds to Greek 'φαρμακον'.,medicine
pa-ra-jo,παλαιος,,Multiple possible cognates. Removed accent from 'έ'.,personal name/old
pa-ra-ku,βαρακις,,First word from the pair. Removed '>'. The Linear B 'pa-ra-ku' corresponds to Greek 'βαρακις'.,dye- substance
pa-ra-ku-ja,βαρακις,,Second word from the pair. Removed '>'. The Linear B 'pa-ra-ku-ja' corresponds to Greek 'βαρακις'.,dye- substance
*56-ra-ku-ja,βαρακις,,Third word from the pair. Removed '>'. The Linear B '*56-ra-ku-ja' corresponds to Greek 'βαρακις'.,dye- substance
pa-ro,παρα,,Removed accent from 'ό'. Included both variants 'παρο' and 'παρα'.,"to whom, 'chez'"
pa-sa,πασαν|πασα,,Removed accent from 'ά'.,all (fem.)
pa-sa-lo,ψαλιον,,Removed accent from 'ά'.,"chain, part of the bridle"
pa-si,πασι|φασι|φημι,φαμι,Multiple possible cognates. The Linear B 'pa-si' can correspond to either 'πανσι' or 'φασι'.,all (neut.)/they say
pa-si-te-o-i,πασιθεοις,,Removed accent from 'ί'.,to all gods
pa-ta,πατας,,No modifications needed. The Linear B 'pa-ta' corresponds to Greek 'πατας' (personal name).,personal name
pa-ta-ja,παλτα|παλτον,,First word from the pair. Removed accent from 'ά'.,arrow
pa-ta-jo,παλτα|παλτον,,Second word from the pair. Removed accent from 'ό'.,arrow
pa-te,παντες|πατηρ,,Multiple possible cognates. Removed all accents and breathing marks.,all (masq.)/father
pa-te-ko-to,παντεκτων,,No changes needed as it has no accents or special characters.,'all-builder'
pa-we-a,φαρfεα,,First word from the pair. Converted digamma 'F' to lowercase 'f'.,textiles
pa-we-o,φαρfεα,,Second word from the pair. Converted digamma 'F' to lowercase 'f'.,textiles
pa-we-pi,φαρfεα,,Third word from the pair. Converted digamma 'F' to lowercase 'f'.,textiles
pa-we-si,φαρfεα,,Fourth word from the pair. Converted digamma 'F' to lowercase 'f'.,textiles
pa-wo,φαρfεα,,Fifth word from the pair. Converted digamma 'F' to lowercase 'f'.,textiles
pa-wo-ke,παρfεργεις,,First word from the pair. Removed accent from 'ά'. Converted digamma 'F' to lowercase 'f'.,ancillaries
pa-wo-ko,παρfεργος,,Second word from the pair. Removed accent from 'ά'. Converted digamma 'F' to lowercase 'f'.,ancillaries
pe-da,πεδα,,No changes needed as it has no accents or special characters.,towards/after
pe-de-we-sa,πεδfεσσα,,Converted digamma 'F' to lowercase 'f'. Removed accent from 'έ'.,having legs
pe-di-ra,πεδιλα,,First word from the pair. Removed accent from 'έ'.,sandals
pe-di-ro,πεδιλον,,Second word from the pair. Removed accent from 'έ'.,sandals
pe-di-ro-i,πεδιλωι,,Second word from the pair. Removed accent from 'έ'.,sandals
pe-i,σφεις,,No changes needed as it has no accents or special characters.,them
pe-ko-to,πεκοτον,,Removed accent from 'έ'.,kind of textile
pe-ma,σπερμα,,First word from the pair. Removed accent from 'έ'.,graιn
pe-mo,σπερμον,,Second word from the pair. Removed accent from 'έ'.,graιn
pe-ne-we-ta,πνεfεντα,,No changes needed as it has no accents or special characters. Converted digamma 'F' to lowercase 'f'.,type of cloth
pe-pi-te-me-no-jo,πεπιθνενοιο|πεπιθνενος,,Removed accent from 'έ'.,personal name
pe-qa-to,ποδfατοι,,Converted digamma 'F' to lowercase 'f'. Removed accent from 'έ'.,part of a chariot (foot boards?)
pe-ra-a-ko-ra-i-ja,περαιαιχωραιαι,,First word from the group. Removed accents from 'έ'. Removed parentheses. No changes needed for 'h' as it doesn't have 'ha'. Removed = sign. The Linear B 'pe-ra-a-ko-ra-i-ja' corresponds to Greek 'περαιαιχωραιαι'.,place name (see opp. 'devroaihoraiai')
pe-ra-a-ko-ra-i-jo,περαιαιχωραιαι,,Second word from the group. Removed accents from 'έ'. Removed parentheses. No changes needed for 'h' as it doesn't have 'ha'. Removed = sign. The Linear B 'pe-ra-a-ko-ra-i-jo' corresponds to Greek 'περαιαιχωραιαι'.,place name (see opp. 'devroaihoraiai')
pe-rai-ko-ra-i-ja,περαιαιχωραιαι,,Third word from the group. Removed accents from 'έ'. Removed parentheses. No changes needed for 'h' as it doesn't have 'ha'. Removed = sign. The Linear B 'pe-rai-ko-ra-i-ja' corresponds to Greek 'περαιαιχωραιαι'.,place name (see opp. 'devroaihoraiai')
pe-re,φερει|φερειν,,No changes needed as it has no accents or special characters.,to bring
pe-re-ke-u,πελεκευς,,First word from the pair. Removed accent from 'ύ'.,hewer (πέλεκυς= axe)
pe-re-ke-we,πελεκευς,,Second word from the pair. Removed accent from 'ύ'.,hewer (πέλεκυς= axe)
pe-re-qo-ta,πρεσποτας,,First word from the set. Removed accent from 'ό'.,personal name
pe-re-qo-ta-o,πρεσποτας,,Second word from the set. Removed accent from 'ό'.,personal name
qe-re-qo-ta-o,πρεσποτας,,Third word from the set. Removed accent from 'ό'.,personal name
pe-re-u-ro-na-de,πλευρωνανδε|πλευρων,,Removed capital letter and accent from 'ώ'. Included the word within parentheses,place name
pe-re-u-ro-ni-jo,πλευρωνιος,,Removed capital letter and accent from 'ώ'. The Linear B 'pe-re-u-ro-ni-jo' corresponds to Greek 'πλευρωνιος'.,ethnic name of 'Pleuron'
pe-re-*82,πρεσφα,,No changes needed as it has no accents or special characters.,goddess' s name
pe-re-*82-jo,πρεσφαιον,,Removed capital letter from 'Π'.,sanctuary dedicated to 'Presfa'
pe-ri,περι,,No changes needed as it has no accents or special characters.,about/of
pe-ri-me-de,περιμηδης,,No changes needed as it has no accents or special characters.,personal name
pe-ri-ta,πελιτας,,Removed accent from 'ί'.,personal name
pe-ri-te-u,περιτευς,,No modifications needed. The Linear B 'pe-ri-te-u' corresponds to Greek 'περιτευς' (personal name).,personal name
pe-ri-to-wo,περιθοfος,,Converted digamma 'F' to lowercase 'f'.,personal name
pe-ru-si-nu-wa,περυσινfα,,First word from the group. Removed accent from 'ά'. Converted digamma 'F' to lowercase 'f'.,of last year
pe-ru-si-nu-wo,περυσινυfο,περυσινfα,"Second word from the group. Removed accent from 'ό'. Converted digamma 'F' to lowercase 'f'. Marked 'περυσινfα' as dubious, as it is a likely wrong transliteration for this case.",of last year
pe-ru-si-nwa,περυσινfα,,Third word from the group. Removed accent from 'ά'. Converted digamma 'F' to lowercase 'f'.,of last year
pe-ru-si-nwa-o,περυσινfα,περυσινυfο,"Fourth word from the group. Removed accent from 'ά'. Converted digamma 'F' to lowercase 'f'. Marked 'περυσινυfο' as dubious, as it is a likely wrong transliteration for this case.",of last year
pe-se-ro,ψελλος,,No changes needed as it has no accents or special characters.,personal name
pe-ta-ro,πεταλος,,Removed accent from 'έ'.,personal name
pe-te-re-wa,πτελεfας|πτελεα,,First word from the pair. Removed accent from 'ά'. Converted digamma 'F' to lowercase 'f'. Included both variants with and without 'ς'.,(made of) elm wood
pte-re-wa,πτελεfας|πτελεα,,Second word from the pair. Removed accent from 'ά'. Converted digamma 'F' to lowercase 'f'. Included both variants with and without 'ς'.,(made of) elm wood
pe-to-no,πετονος|πετνος,,First word from the pair. Removed accent from 'ό'. The Linear B 'pe-to-no' corresponds to Greek 'πετονος' and 'πετνος'.,place name
pe-to-no-de,πετονος|πετνος,,Second word from the pair. Removed accent from 'ό'. The Linear B 'pe-to-no-de' corresponds to Greek 'πετονος' and 'πετνος'.,place name
pe-to-ni-jo,πετονιος|πετνιος,,Removed accent from 'ό'. The Linear B 'pe-to-ni-jo' corresponds to either 'πετονιος' or 'πετνιος'.,ethnic name of Petonos/Petnos
pi-ha-ra,φιhαλη|φιαλη,,"First word from the pair. Removed accent from 'ά'. The ha sign in Linear B indicates aspiration, represented by 'h' in the Greek cognate. Removed parentheses.",kind of pot
pi-je-rai,φιαλαι|φιαλη,,Second word from the pair. Removed accent from 'ά'. Removed parentheses.,kind of pot
pi-ke-re-u,πικερευς,,First word from the set. Removed accent from 'έ'.,personal name
pi-ke-re-we,πικερευς,,Second word from the set. Removed accent from 'έ'.,personal name
pi-ke-re-wo,πικερευς,,Third word from the set. Removed accent from 'έ'.,personal name
pi-pi,πιπης,,No changes needed as it has no accents or special characters.,personal name
pi-ri-ja-o,φλιαιων|φλιαι,,"Removed accent from 'ί'. Included both forms, inside and outside parentheses. The Linear B 'pi-ri-ja-o' corresponds to Greek 'φλιαιων' and 'φλιαι' (doorposts).",doorposts
pi-ri-je-te,πριετηρ,,First word from the pair. Removed accent from 'έ'.,ivory worker (πρίω= to saw)
